"Star_key","star_name","DISTANCE (LIGHTYEARS)","star temperature","Star Mass","radius (sun)","Luminosity","type of star"
4309,"Arcadian Whispers",160.2,4166,0.7,0.7,0.53,"K:0:V"
3299,"Grumium",366.2,2530,0.3,0.61,0.05,"M:3:V"
9696,"Sika",175.713,2819,0.4,0.19,0.04,"M:2:V"
848,"Asellus Borealis",52.38,2446,0.1,0.69,0.05,"M:2:V"
2110,"Radiara",769.468,2828,0.2,0.3,0.05,"M:2:V"
4332,"Wazn",1544,2996,0.3,0.5,0.04,"M:3:V"
2662,"Haedus",530.8,2567,0.1,0.12,0.07,"M:1:V"
5209,"Ancha",452.755,2735,0.1,0.51,0.06,"M:1:V"
177,"Rukbat",222,2685,0.4,0.13,0.06,"M:4:V"
3421,"Arcalís",519.122,3190,0.1,0.55,0.01,"M:0:V"
1791,"Kiseki Expanse",125,5418,0.9,1.11,1.19,"G:5:V"
3382,"Mothallah",385.401,3442,0.1,0.62,0.08,"M:1:V"
825,"Tsukiyo",457.27,3923,0.8,0.8,0.57,"K:7:V"
234,"Taiyangshou",147.2,2911,0.2,0.15,0.05,"M:1:V"
2538,"Morava",725,2763,0.3,0.06,0.02,"M:6:V"
7240,"Lygos Veil",312.674,2693,0.3,0.46,0.04,"M:3:V"
7929,"Ran",706.14,4636,0.7,0.88,0.5,"K:3:V"
4912,"Miram",499.176,5390,1,1.08,1.02,"G:5:V"
9231,"Aurora Anomaly",625.782,2829,0.2,0.28,0.05,"M:3:V"
5561,"Mesarthim",496.8,3140,0.4,0.05,0.06,"M:1:V"
4256,"Zephyrianix",553.128,4013,0.8,0.87,0.35,"K:2:V"
3470,"Pollux",254.621,4038,0.6,0.87,0.52,"K:2:V"
454,"Nyamien",1559.58,3878,0.5,0.83,0.43,"K:7:V"
2065,"Quantum Gaze",764.4,2702,0.4,0.59,0.05,"M:1:V"
9095,"Yoru Ascendance",578.168,2711,0.2,0.05,0.05,"M:5:V"
5699,"Tesserion",187.15,3211,0.4,0.05,0.07,"M:2:V"
1804,"Olympus Anomaly",58.34,3063,0.4,0.22,0.02,"M:3:V"
8696,"Starshara",282.358,5267,0.9,0.97,0.72,"G:2:V"
6019,"Dofida",401.36,3795,0.5,0.78,0.09,"K:7:V"
8292,"Aldhanab",5.079,2467,0.1,0.02,0.08,"M:6:V"
2952,"Errai",641.437,2603,0.3,0.58,0.05,"M:6:V"
9567,"Lunaris",6.33,5553,1,1.14,1.44,"G:2:V"
2365,"Elkurud",49.3305,3387,0.1,0.03,0.08,"M:2:V"
1483,"Symbionara",261.834,2593,0.2,0.69,0,"M:3:V"
9578,"Tevel",63.1,5572,0.9,1.04,0.8,"G:4:V"
3926,"Ginan",39.28,2730,0.2,0.57,0.02,"M:5:V"
4868,"Alderamin",991.22,4335,0.7,0.78,0.39,"K:5:V"
8702,"Cosmoflare",705.368,2515,0.4,0.47,0.01,"M:5:V"
6567,"Alpheratz",1670.84,4076,0.5,0.9,0.47,"K:2:V"
7516,"Whispering Cosmos",875.427,2566,0.1,0.56,0.06,"M:3:V"
6300,"Shogun's Resonance",1289.47,3757,0.5,0.74,0.41,"K:1:V"
728,"Asterion Enigma",12.6,2492,0.3,0.09,0.01,"M:4:V"
5995,"Mirfak",818.482,2745,0.1,0.15,0.06,"M:3:V"
5122,"Márohu",65.19,2849,0.2,0.45,0,"M:5:V"
7983,"Pyramid Radiance",1327.14,2443,0.3,0.63,0.05,"M:5:V"
3586,"Kamikaze Ascendance",405,2889,0.1,0.58,0.05,"M:5:V"
463,"Stellarnova",1242.7,2688,0.3,0.29,0.08,"M:3:V"
7419,"Kamikaze Resonance",19.2,4631,0.6,0.73,0.58,"K:3:V"
1811,"Astrobane",874.126,2805,0.3,0.67,0.04,"M:5:V"
7874,"Umbral Depths",557.993,2813,0.4,0.04,0.06,"M:2:V"
2969,"Isis Threshold",203.978,2453,0.3,0.49,0.03,"M:5:V"
5217,"Osiris Cascade",1585.04,2687,0.4,0.14,0.07,"M:7:V"
1951,"Geisha's Whisper",62.07,4278,0.6,0.86,0.16,"K:3:V"
5346,"Ignifera",1008.79,3741,0.6,0.73,0.09,"K:7:V"
7429,"Galaxy Prism",1107.79,3981,0.8,0.92,0.6,"K:6:V"
7109,"Snowstrider",344,3164,0.2,0.39,0.03,"M:2:V"
2912,"Heze",285.61,2903,0.2,0.43,0.06,"M:5:V"
8837,"Rasalgethi",644.579,2464,0.3,0.47,0.08,"M:4:V"
8939,"Muscida",28.6,5292,0.9,0.97,1.17,"G:2:V"
9054,"Alrakis",1361.66,2601,0.3,0.46,0.05,"M:3:V"
6546,"Fawaris",457.75,3265,0.2,0.06,0.04,"M:1:V"
3802,"Orion's Haven",1481.07,2796,0.3,0.28,0.01,"M:3:V"
1976,"Mimosa",4100,2868,0.4,0.07,0.04,"M:5:V"
406,"Sakura Radiance",1032.74,2469,0.4,0.23,0.02,"M:4:V"
6388,"Quasarion",718.804,2735,0.4,0.15,0.01,"M:6:V"
1521,"Sadr",478.263,3941,0.6,0.73,0.08,"K:6:V"
6154,"Situla",1106.65,2527,0.4,0.69,0.08,"M:5:V"
7595,"Mahsati",183.48,5494,1,0.98,0.88,"G:4:V"
355,"Nebulithra",565.643,2487,0.3,0.36,0.04,"M:8:V"
6455,"Ukiyo Reverie",948.947,2613,0.4,0.6,0,"M:5:V"
528,"Galacticon",420.819,4074,0.7,0.73,0.41,"K:6:V"
3556,"Helixarian",428.3,2777,0.2,0.12,0.07,"M:2:V"
9877,"Alshat",21.11,3392,0.3,0.02,0.07,"M:1:V"
1808,"Obelisk Whisper",425.5,2554,0.4,0.54,0.04,"M:1:V"
4447,"Diphda",468.1,3953,0.7,0.91,0.53,"K:5:V"
2668,"Dabih",550.76,4278,0.6,0.85,0.24,"K:2:V"
5869,"Spectral Veil",2468.5,2972,0.2,0.13,0.01,"M:3:V"
4474,"Toliman",202.51,3986,0.6,0.84,0.23,"K:3:V"
8519,"Ceibo",347.7,2826,0.4,0.55,0.02,"M:4:V"
1315,"Brachium",55.9,3160,0.2,0.56,0.06,"M:1:V"
6345,"Eternal Murmurs",82.2,5526,0.9,1.07,0.87,"G:5:V"
3027,"Dalim",1196.74,2975,0.4,0.25,0.07,"M:2:V"
7332,"Liesma",178,2807,0.4,0.22,0,"M:1:V"
5831,"Titanic Mirage",452.612,2800,0.3,0.27,0.02,"M:6:V"
1031,"Sadalmelik",19.5711,3001,0.1,0.22,0.03,"M:4:V"
7886,"Tegmine",873.668,2463,0.3,0.48,0,"M:3:V"
5516,"Intan",373.81,4539,0.8,0.72,0.19,"K:3:V"
6690,"Kirei",109.6,4165,0.5,0.87,0.53,"K:6:V"
7676,"Dombay",14.063,2883,0.2,0.36,0.05,"M:3:V"
2557,"Algedi",3320,3793,0.5,0.91,0.16,"K:5:V"
4368,"Hamal",259.33,4737,0.5,0.85,0.21,"K:2:V"
3796,"Nile Celestial",3.2161,5402,0.9,0.99,1.46,"G:2:V"
5007,"Stardrax",4.47,3803,0.5,0.83,0.52,"K:4:V"
2608,"Cosmic Cascade",1138.95,2493,0.1,0.65,0.02,"M:5:V"
8117,"Arkab Prior",712.099,2828,0.1,0.11,0.04,"M:6:V"
1397,"Aozora Nebula",24.3323,3247,0.3,0.45,0.03,"M:2:V"
2509,"Rigil Kentaurus",390.488,2497,0.1,0.01,0.06,"M:8:V"
5180,"Marsic",155.65,5582,0.9,1.12,1.01,"G:4:V"
6120,"Fuji Nebula",680,2693,0.2,0.26,0.04,"M:4:V"
7003,"Nebula Nova",37.2209,3073,0.4,0.32,0,"M:4:V"
6492,"Solarionis",768.87,3244,0.1,0.61,0.03,"M:3:V"
1690,"Mintaka",75.1691,3013,0.2,0.53,0,"M:2:V"
9956,"Cassioflux",564.1,3016,0.2,0.26,0.02,"M:2:V"
7090,"Ombraflux",385,3938,0.5,0.71,0.34,"K:6:V"
5438,"Whalecaller",331.08,2933,0.2,0.67,0.03,"M:0:V"
6213,"Arneb",336.47,2946,0.2,0.63,0.01,"M:3:V"
4063,"Ninja's Horizon",379.55,5349,0.9,1.08,0.83,"G:3:V"
5078,"Hotaru Ascendance",49.3,2563,0.3,0.03,0.07,"M:5:V"
5737,"Obelisk Shadows",31.6,2730,0.3,0.62,0.08,"M:4:V"
1356,"Mjoltr",474.25,5425,0.9,1.06,0.99,"G:5:V"
4481,"Sadachbia",661.32,5354,0.8,1.07,0.77,"G:2:V"
2132,"Quanticara",420.362,4589,0.5,0.89,0.37,"K:2:V"
4320,"Kasumi Whisper",56.5,5311,0.9,1,1.27,"G:2:V"
3146,"Pulsarianix",120.6,5479,0.9,1.13,1.19,"G:2:V"
3283,"Tuiren",1034.59,3885,0.6,0.77,0.47,"K:2:V"
1856,"Vesperian Whimsy",118,3747,0.5,0.86,0.39,"K:4:V"
6570,"Altair",638.35,2464,0.3,0.3,0.02,"M:5:V"
5267,"Obsidian Threshold",263.29,3028,0.1,0.67,0.02,"M:3:V"
9768,"Inari's Cascade",83.8,3167,0.2,0.49,0.01,"M:3:V"
232,"Cervantes",538.503,2678,0.1,0.36,0.04,"M:6:V"
3698,"Quasar Nova",192.4,4031,0.6,0.89,0.42,"K:2:V"
6863,"Haruka Echoes",1546.55,2992,0.3,0.42,0.06,"M:3:V"
4727,"Minelauva",343,4261,0.7,0.92,0.33,"K:5:V"
6725,"Sarin",386.384,5200,1,1.14,1.09,"G:2:V"
2667,"Frostgale",562,2700,0.2,0.62,0.01,"M:3:V"
198,"Vortexian",606.992,2903,0.3,0.04,0,"M:5:V"
4768,"Phantasmal Echo",650.322,2411,0.3,0.41,0.01,"M:8:V"
1575,"Sylvarix",500.395,2403,0.2,0.67,0.01,"M:4:V"
9994,"Chasoň",298.219,5285,0.8,1.08,0.96,"G:2:V"
6067,"Comet Veil",53.02,2805,0.4,0.06,0.07,"M:3:V"
196,"Mazaalai",652.401,3329,0.4,0.57,0.04,"M:2:V"
7139,"Sakura's Labyrinth",32.4,3481,0.2,0.18,0,"M:1:V"
6862,"Aludra",692.425,2528,0.4,0.21,0.08,"M:1:V"
3154,"Achernar",1216.22,2681,0.3,0.31,0.07,"M:0:V"
906,"Ainalrami",484.58,2731,0.2,0.38,0.07,"M:0:V"
5726,"Horus' Ascendance",1382.99,4182,0.7,0.71,0.08,"K:6:V"
8784,"Lionrock",172.6,2784,0.4,0.52,0.01,"M:2:V"
7252,"Helian Nebula",691.611,2841,0.2,0.24,0.05,"M:3:V"
3623,"Kagayaki",851.9,5537,1,1.11,1.02,"G:4:V"
6855,"Elysionix",595.8,2647,0.2,0.59,0.07,"M:5:V"
2775,"Maia",894.42,2543,0.1,0.62,0.05,"M:2:V"
1900,"Fomalhaut",396.378,2403,0.3,0.7,0.03,"M:6:V"
4581,"Mystic Expanse",385.34,2995,0.3,0.02,0,"M:2:V"
2489,"Denebola",8240,4305,0.7,0.74,0.6,"K:3:V"
3539,"Pulsar Serenity",1518,2536,0.2,0.56,0.06,"M:6:V"
1892,"Lich",1809.63,4325,0.7,0.83,0.56,"K:5:V"
9793,"Koeia",418,2948,0.2,0.61,0.04,"M:4:V"
5829,"Kūkan Cascade",17.17,2485,0.3,0.66,0.02,"M:6:V"
1191,"Salm",162.408,2655,0.2,0.06,0.02,"M:6:V"
506,"Orion's Gaze",6760,4396,0.7,0.93,0.34,"K:3:V"
5040,"Nemea Residue",216.577,2873,0.2,0.06,0.05,"M:1:V"
3265,"Inazuma",55.6,2452,0.4,0.41,0.02,"M:5:V"
2070,"Sekai Ember",870,2719,0.3,0.33,0.03,"M:3:V"
8446,"Elgafar",640,5517,1,1.11,0.81,"G:5:V"
9285,"Stellarastrum",1219.23,2683,0.2,0.36,0,"M:6:V"
6318,"Beemim",1038.21,3528,0.4,0.46,0.08,"M:0:V"
72,"Lyraflux",234,2628,0.3,0.51,0.07,"M:3:V"
5399,"Celestros",1366.49,2868,0.4,0.25,0.06,"M:4:V"
3048,"Zenithrax",57.1,2535,0.3,0.28,0.08,"M:3:V"
9654,"Ronin's Cascade",302.8,4156,0.5,0.73,0.17,"K:5:V"
8482,"Nefertiti's Nebula",400.2,5387,0.9,1.04,0.77,"G:2:V"
5020,"Nebula Radiance",970.497,2900,0.2,0.45,0.02,"M:3:V"
4469,"Aurora Phantasm",90.29,3805,0.6,0.78,0.22,"K:2:V"
5147,"Stellar Whisper",510,2666,0.1,0.27,0.01,"M:4:V"
1966,"Sakuya Nebula",320.07,2850,0.1,0.01,0.04,"M:4:V"
9777,"Flegetonte",89.3,2987,0.3,0,0,"M:4:V"
8710,"Sheliak",134.833,2677,0.2,0.31,0.05,"M:1:V"
682,"Kōri",1284.52,3747,0.7,0.92,0.08,"K:7:V"
1132,"Clandestine Nebula",54.3258,5335,0.9,1.03,1.33,"G:2:V"
4371,"Arcanix",83.5,2649,0.4,0.51,0.01,"M:5:V"
8528,"Baten Kaitos",765,2853,0.4,0.44,0.02,"M:3:V"
6429,"Astrum Quasar",21.88,3131,0.4,0.47,0.07,"M:3:V"
4754,"Cosmic Elegance",474.654,3789,0.8,0.85,0.41,"K:0:V"
6889,"Anubis' Echo",1503.99,3785,0.8,0.89,0.56,"K:2:V"
1301,"Mekbuda",343.84,2717,0.2,0.68,0.03,"M:3:V"
5635,"Lucilinburhuc",14.872,2505,0.2,0.12,0.03,"M:1:V"
5770,"Nembus",285.91,3003,0.3,0.42,0.05,"M:4:V"
3236,"Zubenelgenubi",403.66,4000,0.7,0.84,0.52,"K:6:V"
5924,"Arcanum Flux",259.208,4343,0.7,0.71,0.15,"K:2:V"
5915,"Starshard",647.585,2560,0.2,0.54,0.06,"M:4:V"
6857,"Zypheron",581.27,5482,0.9,1.14,0.69,"G:5:V"
6092,"Celestara",114.2,4784,0.7,0.93,0.24,"K:1:V"
7958,"Bibhā",339.605,5727,0.9,0.98,0.67,"G:2:V"
9683,"Bonsai Gaze",4970,2847,0.2,0.64,0.04,"M:5:V"
7953,"Vermilion Expanse",267.07,3736,0.7,0.72,0.26,"K:7:V"
4764,"Orionyx",6620,2496,0.2,0.68,0.07,"M:3:V"
5550,"Sāmaya",771.7,2721,0.1,0.31,0.05,"M:4:V"
5256,"Thunderhoof",1151.94,3167,0.2,0.16,0.03,"M:3:V"
6998,"Saiph",1562.01,2612,0.1,0,0.06,"M:3:V"
2659,"Bastet's Mirage",752.502,2570,0.2,0.61,0.01,"M:6:V"
6922,"Tesserara",1248.75,3275,0.4,0.07,0.04,"M:2:V"
2020,"Galaxix",46.16,2490,0.4,0.66,0.05,"M:6:V"
480,"Icewind",23.606,2404,0.1,0.02,0.01,"M:6:V"
1763,"Solaraether",1053.52,3863,0.6,0.85,0.41,"K:5:V"
7872,"Skyforged",55.68,2959,0.4,0.1,0.01,"M:4:V"
4098,"Shama",116.3,5551,0.9,1.02,1,"G:5:V"
2900,"Zenithrion",78.24,5534,0.9,1,1.13,"G:5:V"
2493,"Arcturus",98.4,5169,0.6,0.9,0.13,"K:0:V"
5504,"Kornephoros",1102.66,2843,0.4,0.15,0.06,"M:3:V"
8513,"Ascella",313.12,2453,0.3,0.17,0.04,"M:8:V"
3184,"Seishin",189.56,3393,0.4,0.4,0.08,"M:2:V"
4265,"Fang",219.95,2702,0.3,0.56,0.07,"M:1:V"
3535,"Lurking Cosmos",1577.36,3218,0.3,0.16,0.06,"M:3:V"
7443,"Luminous Nexus",23.3189,2487,0.3,0.6,0.04,"M:8:V"
3413,"Ignitionix",660,5448,0.9,0.99,0.92,"G:4:V"
9920,"Geisha's Echo",561.29,3746,0.5,0.71,0.29,"K:3:V"
855,"Starlight Whisper",79.7634,2638,0.4,0.65,0.07,"M:5:V"
7349,"Kachō",875.35,2527,0.3,0.62,0.08,"M:7:V"
8069,"Vortexion",493.778,4596,0.6,0.84,0.26,"K:2:V"
558,"Chaophraya",1436.58,2882,0.4,0.54,0.06,"M:2:V"
1974,"Helionis",27,3027,0.1,0.01,0,"M:1:V"
6648,"Hinotori Whispers",642.467,2431,0.3,0.42,0.02,"M:4:V"
2377,"Sabik",874.46,3189,0.2,0.67,0.02,"M:3:V"
6074,"Ronin's Horizon",942.418,4015,0.7,0.73,0.25,"K:6:V"
6408,"Umbral Silence",691.82,3328,0.4,0.42,0.05,"M:0:V"
2173,"Alcyone",933.01,2863,0.2,0.13,0.04,"M:1:V"
9487,"Pulsar Radiance",52,5038,0.5,0.87,0.49,"K:0:V"
172,"Starlight Shroud",93,2998,0.2,0.14,0.03,"M:4:V"
2299,"Hikari",1321.53,3502,0.2,0.22,0.07,"M:1:V"
401,"Aldebaran",1409.24,4616,0.5,0.83,0.47,"K:3:V"
2373,"Mahasim",639,4636,0.7,0.78,0.18,"K:2:V"
4730,"Yugure Radiance",651.783,3026,0.2,0.63,0.05,"M:2:V"
6350,"Geminga",772.481,3964,0.5,0.9,0.35,"K:3:V"
7911,"Stormcaller",580.5,2960,0.2,0.15,0.05,"M:3:V"
3917,"Segin",223,3137,0.2,0.56,0.06,"M:3:V"
497,"Ayeyarwady",52.7,4052,0.7,0.89,0.48,"K:3:V"
9279,"Skybreaker",924.556,5524,0.9,1.07,1.14,"G:4:V"
8081,"Zephyrion",750.751,5293,0.8,1.05,1.14,"G:4:V"
4209,"Tsuki's Nebula",760.3,4024,0.6,0.9,0.31,"K:7:V"
9649,"Quantum Mirage",466.114,2805,0.4,0.47,0.03,"M:3:V"
7524,"Ankaa",913.576,3708,0.5,0.93,0.55,"K:5:V"
4867,"Avior",864.603,5219,1,1.02,0.85,"G:5:V"
6480,"Praecipua",3.6,3720,0.6,0.95,0.52,"K:7:V"
9909,"Tejat",606.061,3003,0.4,0.2,0.04,"M:2:V"
8179,"Dracothra",1030.81,2435,0.2,0.19,0.04,"M:8:V"
6505,"Aetheronix",20.67,2668,0.3,0.63,0.06,"M:2:V"
1251,"Atik",994.233,5332,0.8,1.02,0.85,"G:4:V"
1045,"Hassaleh",1325.38,2970,0.4,0.17,0.05,"M:4:V"
4381,"Wasat",603.464,3118,0.3,0.64,0.01,"M:2:V"
3163,"Pulsar Seraph",81.1376,4239,0.6,0.88,0.34,"K:5:V"
4080,"Rotanev",431.369,2561,0.2,0,0.04,"M:5:V"
9795,"Infinite Iris",552.029,2814,0.2,0.05,0.01,"M:6:V"
9711,"Regulus",145,2957,0.1,0.13,0.07,"M:5:V"
4204,"Torcular",1107.67,2428,0.3,0.25,0.07,"M:4:V"
8129,"Ayame Cascade",307.569,4172,0.7,0.96,0.29,"K:2:V"
5613,"Eonix",63.63,2622,0.4,0.47,0.07,"M:7:V"
4242,"Arkab Posterior",1302.83,3257,0.4,0.27,0.01,"M:1:V"
1657,"Shizuku Seraph",967,4254,0.7,0.79,0.21,"K:2:V"
1317,"Zaniah",1061,4250,0.7,0.71,0.51,"K:0:V"
9412,"Stribor",865.512,2544,0.3,0.02,0.04,"M:3:V"
9075,"Lunarianth",726.216,4289,0.6,0.88,0.17,"K:1:V"
8356,"Titanium Enigma",60,4508,0.5,0.88,0.22,"K:3:V"
8401,"Blizzardrider",3630,3128,0.4,0.16,0.01,"M:2:V"
3553,"Belel",1605.94,2431,0.3,0.39,0,"M:4:V"
9479,"Ain",532.955,2776,0.2,0.55,0.08,"M:1:V"
3468,"Nebulae Cipher",694.444,2995,0.4,0.19,0.04,"M:4:V"
5116,"Helionara",316.61,4365,0.8,0.91,0.54,"K:5:V"
1154,"Anadolu",40.3661,2464,0.3,0.59,0.06,"M:8:V"
9541,"Chara",704.473,2480,0.2,0.61,0.04,"M:8:V"
2895,"Botein",1500,3040,0.3,0.54,0.07,"M:3:V"
7944,"Sulafat",112.7,2421,0.3,0.28,0.02,"M:4:V"
7834,"Celestial Ember",65.6,3758,0.5,0.79,0.24,"K:7:V"
2639,"Sylvari",142.5,2703,0.2,0.67,0.05,"M:4:V"
9474,"Albali",872.59,4055,0.8,0.79,0.54,"K:6:V"
8033,"Celestrium",1001.2,3897,0.7,0.78,0.11,"K:5:V"
3752,"Mirzam",677.048,2773,0.3,0.48,0.04,"M:3:V"
4174,"Guniibuu",6370,4695,0.5,0.8,0.15,"K:2:V"
6237,"Alula Borealis",848.76,2896,0.1,0.07,0.03,"M:2:V"
6165,"Antares",1252.13,3335,0.3,0.26,0.02,"M:1:V"
9338,"Celaeno",31.03,2825,0.3,0.36,0.02,"M:5:V"
4809,"Infinity Iris",1100,5197,0.7,0.83,0.37,"K:0:V"
1211,"Kaus Media",849.545,3025,0.4,0.45,0.03,"M:1:V"
583,"Brimstone",774.833,2487,0.1,0.36,0.07,"M:4:V"
4849,"Ronin's Enigma",1106.61,2770,0.4,0.4,0.04,"M:5:V"
9022,"Stellarastra",181.63,4555,0.5,0.78,0.55,"K:3:V"
8694,"Cujam",92,4115,0.8,0.79,0.15,"K:6:V"
9849,"Luminous Ember",382.088,3203,0.3,0.06,0,"M:2:V"
1510,"Nova Prism",1401.74,3773,0.5,0.74,0.46,"K:7:V"
5807,"Aurum Obscura",758.7,2593,0.3,0.05,0,"M:4:V"
1486,"Scarabian Cosmos",139.6,4163,0.5,0.95,0.28,"K:2:V"
7937,"Ebon Crypt",286.727,5245,0.9,0.98,1.43,"G:4:V"
4925,"Quanticus",987.849,2463,0.3,0.26,0,"M:4:V"
679,"Cosmaraith",708.165,2878,0.1,0.1,0.04,"M:3:V"
3290,"Sceptrum",45.37,4605,0.5,0.77,0.27,"K:2:V"
5821,"Horus' Resonance",1425.31,3248,0.3,0.1,0.01,"M:0:V"
4697,"Suhail",788.49,2820,0.2,0.03,0.07,"M:5:V"
6685,"Zaurak",121.36,4372,0.5,0.9,0.32,"K:1:V"
5514,"Zosma",116.34,2530,0.4,0.13,0.06,"M:2:V"
4865,"Nebuloria",489.368,2572,0.2,0.01,0.02,"M:4:V"
3572,"Phantasmal Abyss",271.9,2582,0.1,0.61,0.07,"M:2:V"
2400,"Blizzardclaw",788.644,2460,0.4,0.32,0.02,"M:8:V"
7464,"Titanium Quasar",645.245,2966,0.1,0.09,0.04,"M:2:V"
705,"Crimson Enigma",457.7,2408,0.4,0.48,0.02,"M:8:V"
6385,"Umbra Veil",710,4601,0.7,0.93,0.29,"K:0:V"
8768,"Furud",338.98,2655,0.2,0.52,0.02,"M:2:V"
7604,"Pipirima",1668.89,3509,0.3,0.16,0.08,"M:1:V"
4567,"Ma'at's Silence",403.665,5358,0.8,1.13,0.78,"G:2:V"
9717,"Naledi",642,2750,0.1,0.66,0.04,"M:5:V"
9209,"Shogun's Loom",44.6,3901,0.7,0.73,0.43,"K:7:V"
4948,"Bharani",506.87,3539,0.4,0.64,0.01,"M:0:V"
9587,"Astrylis",26.15,3183,0.2,0.4,0.02,"M:2:V"
2711,"Macondo",177.7,4639,0.6,0.72,0.36,"K:0:V"
5620,"Astrolithium",826.788,2505,0.3,0.3,0.07,"M:8:V"
318,"Uchū Veil",49.4,2529,0.1,0.45,0.06,"M:5:V"
8894,"Quasarlynx",539.57,3807,0.5,0.95,0.57,"K:2:V"
3106,"Citadelle",226.829,3897,0.7,0.72,0.38,"K:3:V"
6721,"Sterrennacht",1511.13,2883,0.2,0.49,0,"M:3:V"
28,"Quantraflux",65.06,4054,0.6,0.72,0.32,"K:0:V"
3380,"Rapeto",1874.41,3144,0.2,0.11,0.04,"M:3:V"
8699,"Secunda Hyadum",714.082,2452,0.4,0.54,0.02,"M:8:V"
4282,"Bastet's Silence",499.9,3203,0.3,0.2,0.03,"M:3:V"
5512,"Starglow Spectra",1569.37,3178,0.2,0.3,0.07,"M:0:V"
4269,"Achird",868.7,3318,0.3,0.68,0.03,"M:1:V"
1161,"Alya",139.22,2800,0.3,0.35,0.03,"M:2:V"
7146,"Pharaoh's Veil",688.658,5556,1,0.98,0.7,"G:4:V"
922,"Atakoraka",907,3043,0.3,0.53,0.05,"M:2:V"
4226,"Kawa",1053.19,2565,0.1,0.1,0.04,"M:6:V"
3576,"Phact",499.35,2775,0.2,0.32,0.08,"M:3:V"
3324,"Imai",625.547,2827,0.4,0.02,0.07,"M:0:V"
7955,"Darkonium",1358.51,2424,0.4,0.23,0.01,"M:3:V"
5809,"Diya",1454.55,3865,0.5,0.82,0.31,"K:2:V"
8639,"Pharaoh's Reverie",42.25,2503,0.3,0.27,0.05,"M:5:V"
4185,"Amadioha",64.7,3977,0.6,0.79,0.51,"K:6:V"
9864,"Kōkei Labyrinth",112.84,2839,0.4,0.37,0.06,"M:1:V"
268,"Heliosara",269.2,3757,0.7,0.91,0.53,"K:0:V"
