"planet_key","PLANET","Star_key","Mass","Relative Density","RELATIVE RADIUS","terrain type","Type Of Climate"
28,"Eonara III",8471,8.57,0.965,2.07,"tundra; sea; rainforest; grassy hill","artificial temperate; frigid; windy; humid"
29,"Eonara II",8471,1.32,1.248,1.02,"plateau; jungle; cityscape","rocky; superheated"
30,"Eaglecrest Wu",4904,1.27,1.27,1,"urban; hill","artic; subartic; windy"
31,"Eaglecrest Shi",4904,3.16,0.932,1.5,"cliff; hill; swamp; rock arche; mountain; forest","windy; artificial temperate; tropical; subartic; rocky"
32,"Eaglecrest San",4904,1.47,0.675,1.3,"mountain","artificial temperate; humid; hot"
33,"Kasai Ember Si",2641,8.4,0.937,2.08,"rocky canyon; city","humid; rocky; artificial temperate"
34,"Mintaka Rho",1690,7.39,1.185,1.84,"acid pool; rocky island; lava river; sea","frigid; hot; temperate; subartic; tropical"
35,"Luminous Nexus Tau",7443,0.68,1.361,0.79,"island; reef","artificial temperate; rocky; frigid; artic"
36,"Quantumara Cerberian",4819,0.9,0.733,1.07,"field","temperate; tropical; humid; subartic; frozen"
37,"Orion's Echo XVIII",9788,1.88,1.198,1.16,"plain; scrubland","frozen; subartic; artificial temperate; tropical; arid"
38,"Orion's Echo II",9788,2.53,1.18,1.29,"hill; jungle; cityscape; plain; vine","rocky; arid; hot"
39,"Tsubasa Echoes Theta",6854,4.42,1.125,1.58,"plain; glacier","frozen"
40,"Stardrake XI",678,3.35,0.896,1.55,"river; bog; cityscape","artificial temperate; windy; temperate"
41,"Aldhanab Omicron",8292,4.21,0.878,1.69,"cave; cityscape","frozen; frigid; subartic; temperate; hot"
42,"Aldhanab Mu",8292,9.01,1.062,2.04,"cliff","arid; frozen"
43,"Aldhanab Omega",8292,0.84,1.488,0.83,"vine; cliff; ice cave","frigid; rocky; hot"
44,"Frostbeard Shi",9226,5.86,1.072,1.76,"verdant","hot; humid; frozen; tropical"
45,"Umi Celestial Theta",5347,1.97,1.343,1.14,"river; plain","humid; windy; frigid; artificial temperate"
46,"Phantasmal Abyss IV",3572,0.64,1.45,0.76,"rocky canyon; rocky island; sea","arid; artificial temperate; subartic; frigid"
47,"Phantasmal Abyss XXIV",3572,7.79,0.677,2.26,"toxic cloudsea; rocky desert; hill","subartic; frigid; artificial temperate; frozen"
48,"Phantasmal Abyss VII",3572,2.73,0.776,1.52,"glacier; swamp; lava river; urban; desert; sinkholes; verdant","subartic; humid; hot; temperate; arid; tropical; artificial temperate"
49,"Rosaliadecastro Undecimal",6475,1.4,1.136,1.07,"savanna","hot; frigid; humid"
50,"Rosaliadecastro Quartal",6475,6,1.419,1.62,"rocky canyon","temperate; rocky; hot; tropical"
51,"Rosaliadecastro Nonal",6475,1,1.087,0.97,"canyons","hot; subartic; superheated; temperate"
52,"Rosaliadecastro Sextant",6475,1.09,0.399,1.4,"sea; desert; ocean","artificial temperate; artic; arid"
53,"Vermilion Expanse Alpha",7953,NA,0.412,1.31,"barren; cliff","frozen; arid"
54,"Tevel Phi",9578,1.78,1.273,NA,"rainforest; sea; rocky island","humid; arid"
55,"Tevel Gamma",9578,4.44,0.734,NA,"city; savanna; valley; cliff; tundra","frigid; artic; rocky"
56,"Tevel Eta",9578,4.39,1.177,NA,"acid pool; mountain; tundra; city","windy; artificial temperate; humid; frigid"
57,"Tevel Kappa",9578,2.42,0.61,1.58,"desert; savanna","arid; windy; frigid; superheated"
58,"Sadachbia Atlasios",4481,1.4,1.047,1.1,"grassland; grassy hill; cityscape","temperate; hot; humid"
59,"Stardrax Dionian",5007,1.54,0.534,1.42,"volcano; field","artificial temperate; superheated; frozen; temperate"
60,"Helian Nebula Liu",7252,0.69,0.945,0.9,"fungus forest; reef; sea; bog","frigid; arid; humid"
61,"Anubis' Echo Nonal",6889,2.38,0.439,1.76,"plain; ash","hot"
62,"Anubis' Echo Vigesimal",6889,1.6,1.164,1.11,"sea; river; mountain; forest; cliff; rock arche","superheated; artificial temperate; frigid; hot; tropical"
63,"Anubis' Echo Tertial",6889,NA,0.788,1.65,"savanna; sinkholes; forest","artificial temperate; arid; hot; temperate; rocky"
64,"Zibal Wu",1600,3.75,0.752,1.71,"rock arche; urban; jungle; rainforest","arid; windy; hot; humid"
65,"Zibal Ba",1600,6.46,0.558,2.26,"mountain; ocean; plain; sinkholes; glacier; ice canyon","temperate; artificial temperate; superheated; rocky; frigid; arid; tropical"
66,"Zibal Er",1600,1.42,0.907,1.16,"valley; cave; sinkholes; acid pool; ocean","rocky; hot; subartic; temperate"
67,"Zibal Jiu",1600,2.2,0.769,1.42,"rocky canyon; acid pool; fungus forest; island; jungle","humid; arid; tropical; subartic"
68,"Albali Atlasios",9474,3.22,1.375,NA,"acid pool; rock arche; cityscape; island","tropical; humid; artic; windy; rocky; frigid"
69,"Rōka Irisian",3493,1.25,1.184,1.02,"cliff; jungle","frozen; subartic; tropical; hot"
70,"Keid Omicron",8021,4.41,1.041,1.62,"plateau; hill; rocky canyon","artificial temperate; frigid"
71,"Ascella XII",8513,3.29,0.78,1.62,"ocean; lakes; rock arche; fungus forest; river","subartic; tropical; frozen"
72,"Skyforged Apollox",7872,1.74,0.82,1.29,"fungus forest; cave; field; savanna; island","rocky; hot; artic; windy"
73,"Stellar Whisper XXIII",5147,2.23,1.303,1.2,"canyons; verdant; plateau; swamp","tropical; humid; temperate; artificial temperate; windy"
74,"Ketsueki Whispers III",961,7.85,0.774,2.16,"grassland; desert; plain; rocky canyon; rocky island; reef","windy; frozen; artic; humid; artificial temperate; rocky"
75,"Radiara Iota",2110,NA,1.274,1.98,"hill; savanna","subartic; superheated; rocky"
76,"Radiara Lambda",2110,6.76,0.608,2.23,"volcano; rocky canyon; rainforest","temperate; superheated; windy"
77,"Hotaru Ascendance Omicron",5078,1,1.056,NA,"lava river; ice canyon","windy; artic; subartic; superheated; humid; frigid; temperate"
78,"Hotaru Ascendance Xi",5078,7.41,1.227,1.82,"valley","subartic"
79,"Hotaru Ascendance Epsilon",5078,3.07,1.248,1.35,"cityscape; bog; jungle","tropical; superheated; humid"
80,"Blizzardclaw Mu",2400,4.68,0.675,1.91,"vine; island","hot; humid; artic"
81,"Blizzardclaw Eta",2400,3.48,0.989,1.52,"glacier; ice cave","artificial temperate; arid; frozen; artic"
82,"Blizzardclaw Kappa",2400,7.55,0.83,2.09,"reef; glacier","humid; frozen; arid; hot"
83,"Arcadian Whispers Astraeos",4309,6.48,0.66,2.14,"grassy hill; acid pool; reef; ocean","subartic; temperate; superheated; rocky"
84,"Arcadian Whispers Herculean",4309,0.61,1.604,0.72,"desert; plateau","arid"
85,"Arcadian Whispers Helios",4309,0.86,1.097,0.92,"vine; valley","arid"
86,"Arcadian Whispers Poseidian",4309,1.58,0.807,1.25,"urban","temperate; tropical; rocky; artificial temperate; superheated; frigid"
87,"Torii Shadows I",4386,0.78,1.062,0.9,"rock arche; toxic cloudsea; river; rocky canyon; ice canyon; mountain","temperate; rocky; frozen; humid"
88,"Torii Shadows XIX",4386,NA,1.117,1.04,"volcano; field; vine","temperate; arid; superheated"
89,"Torii Shadows XIV",4386,1.37,0.883,1.16,"cliff; island; mountain; glacier; plain","artificial temperate; subartic; arid"
90,"Torii Shadows XXIII",4386,6.12,1.067,1.79,"sea; hill; cliff; valley; rocky island","tropical; temperate; arid"
91,"Kaze Horizon Decimal",2691,5.55,1.449,1.56,"rocky canyon; lakes","hot; artificial temperate; rocky; subartic; artic"
92,"Kaze Horizon Quintal",2691,9.3,1.168,2,"sinkholes; cave","superheated; frozen; windy"
93,"Kaze Horizon Tertial",2691,4.66,0.816,1.79,"jungle","tropical"
94,"Menkib XIII",520,1.78,1.133,1.16,"city; vine","rocky; windy"
95,"Bonsai Gaze Eta",9683,1.45,0.908,1.17,"rocky island; swamp; grassy hill; rock arche","rocky; humid; subartic"
96,"Wasat Nyxios",4381,2.15,0.957,1.31,"city; fungus forest; plain; cityscape; jungle","superheated; humid; frigid; rocky"
97,"Wasat Tritonian",4381,0.74,1.007,0.9,"rocky canyon; valley; glacier; tundra; mountain; bog","temperate; artificial temperate; subartic; artic"
98,"Celestial Ember Secant",7834,0.48,1.112,0.76,"field; rocky island; lakes","temperate; tropical; arid"
99,"Celestial Ember Septimal",7834,0.8,1.205,0.87,"cliff; fungus forest; toxic cloudsea; grassy hill; vine","rocky; tropical; artic; subartic; frozen; artificial temperate; arid"
100,"Celestial Ember Tertial",7834,7.87,0.932,2.04,"vine","arid; artic; artificial temperate; superheated; frigid; hot"
101,"Grumium XVIII",3299,2.08,0.671,1.46,"vine; reef; tundra; field; lakes","temperate; rocky; superheated"
102,"Quasarlynx Beta",8894,6.94,1.304,NA,"acid pool","rocky; frigid; superheated; artificial temperate"
103,"Quasarlynx Lambda",8894,4.94,1.16,1.62,"plain; valley; ocean; grassy hill; rock arche","tropical; frigid; humid; subartic"
104,"Quasarlynx Omega",8894,1.82,1.221,1.14,"hill; ocean; jungle; lava river; rocky canyon; jungle; glacier","tropical; frigid; subartic; hot; artificial temperate; artic"
105,"Quasarlynx Mu",8894,1.2,0.945,1.08,"ice canyon; bog","hot; rocky; windy; frozen; artificial temperate; frigid; artic"
106,"Eagleeye Liu",5429,8.89,0.549,2.53,"field; plain","temperate; tropical"
107,"Eagleeye Er",5429,1.19,0.635,1.23,"river; cave; verdant; hill","rocky; superheated; frozen"
108,"Eagleeye Wu",5429,2.97,0.639,1.67,"ocean","temperate; rocky; arid; humid"
109,"Cervantes Orphean",232,1.16,0.896,1.09,"hill","superheated; hot"
110,"Thunderpeak Museios",7526,4.99,0.907,1.77,"sea; grassy hill","windy; subartic; frigid; humid"
111,"Thunderpeak Asclepian",7526,1.09,0.583,1.23,"savanna; sinkholes; jungle; sea; rock arche; tundra; urban; river","artic; rocky; temperate; arid; tropical; superheated"
112,"Thunderpeak Gaian",7526,6.57,1.094,1.82,"forest; rocky canyon; toxic cloudsea; scrubland","hot; tropical; subartic; arid; artic; frozen"
113,"Kōkei Labyrinth XXII",9864,2.06,1.113,1.23,"ice cave","temperate; artificial temperate; subartic; windy"
114,"Kōkei Labyrinth XVI",9864,NA,0.924,1.12,"bog","temperate; windy; arid; humid; hot"
115,"Pherkad Poseidian",3024,5.22,0.444,2.27,"tundra; jungle; bog; volcano; rocky canyon","humid; superheated; frozen; artic; artificial temperate; frigid; hot"
116,"Elgafar San",8446,1.27,0.782,1.18,"fungus forest; ice cave","windy; rocky; frigid; humid; superheated"
117,"Elgafar Shi",8446,2.46,0.763,1.48,"grassy hill; desert; fungus forest","hot; windy; tropical"
118,"Diya Epsilon",5809,0.45,0.679,0.87,"rainforest","windy; superheated"
119,"Diya Pi",5809,NA,1.36,1.12,"cliff","artificial temperate; arid"
120,"Pulsarianix Decimal",3146,4.34,1.14,1.56,"rocky canyon; ocean; grassland; cityscape; vine","frozen; temperate; artic; artificial temperate; windy"
121,"Pulsarianix Octal",3146,NA,1.086,1.9,"forest","hot; artificial temperate"
122,"Pulsarianix Vigesimal",3146,2.65,1.184,1.31,"glacier; mountain; vine; rocky desert; forest; canyons","artic; artificial temperate; subartic; frigid"
123,"Pulsarianix Septimal",3146,5.67,1.095,1.73,"reef; tundra","superheated; tropical; arid; frigid; subartic"
124,"Cujam Undecimal",8694,1.12,0.616,1.22,"rocky island; cityscape","humid; subartic; frigid; arid; tropical; temperate"
125,"Cujam Quintal",8694,1.36,1.047,1.09,"urban","superheated; rocky; arid"
126,"Cujam Vigesimal",8694,4.85,1.246,1.57,"cave; savanna","rocky; arid; hot; frozen"
127,"Maasym Pi",240,5.4,0.804,1.89,"island; mountain; lakes; tundra; acid pool","humid; artic; tropical"
128,"Maasym Omega",240,1.4,0.557,1.36,"sea; ocean; lakes; city","humid; arid; artic; frozen"
129,"Maasym Chi",240,8.34,0.74,2.24,"mountain; field; rocky canyon; desert; rocky desert; city","subartic; rocky; artificial temperate; frozen"
130,"Rigel Jiu",7392,0.94,0.713,1.1,"urban; jungle; sinkholes; volcano; verdant; cliff; field","humid; tropical; frigid; artificial temperate; hot; subartic"
131,"Moldoveanu Nonal",2359,3.48,1.429,1.35,"cityscape; field; cliff; plain; glacier","frozen; hot; rocky"
132,"Moldoveanu Duodecimal",2359,3.16,1.121,1.41,"jungle; vine; island; lakes; ash; hill; river; rocky desert","artificial temperate; subartic; superheated; tropical; arid; frozen; windy"
133,"Mesarthim Typhonian",5561,2.49,1.188,1.28,"island","frigid; windy; artificial temperate"
134,"Lunaris Iota",9567,0.77,1.104,0.89,"ice cave; grassy hill; jungle; canyons","humid; subartic; tropical; windy; artificial temperate"
135,"Mazaalai Dionysios",196,7.39,0.114,4.01,"city; verdant; rainforest; fungus forest","superheated; temperate; tropical"
136,"Mazaalai Tritonian",196,1.15,1.246,0.97,"swamp; city; island; verdant; sea","temperate; humid; frozen"
137,"Mazaalai Gaios",196,7.37,0.364,2.72,"plateau; vine; river","artificial temperate; tropical; windy; frozen; humid; temperate; artic"
138,"Heliosara Museios",268,1.39,0.671,1.27,"fungus forest; verdant; acid pool; ocean; plain","rocky; tropical; hot; temperate; windy"
139,"Elysiumix XXIII",9460,5.23,0.849,1.83,"urban; plain","frozen; artificial temperate; artic; humid"
140,"Elysiumix XIII",9460,3.96,0.75,1.74,"grassy hill; river; toxic cloudsea; island; ice cave","windy; subartic; artic; artificial temperate"
141,"Kaus Australis Nymphios",5863,1.56,1.115,1.12,"swamp; bog; canyons; forest","temperate; artificial temperate; humid"
142,"Arcanix Ba",4371,1.03,0.587,1.21,"volcano; ocean; plateau","hot; arid; artificial temperate; temperate"
143,"Arcanum Flux IX",5924,8.82,0.798,2.23,"rocky canyon; city","artificial temperate"
144,"Nembus Quintal",5770,3.5,1.264,1.4,"reef; plain; fungus forest; volcano; cityscape; valley; rocky desert; barren","humid; frozen; arid; temperate; artic"
145,"Nembus Duodecimal",5770,2.32,1.039,1.31,"grassy hill; city","humid"
146,"Nembus Undecimal",5770,2.4,1.579,1.15,"ocean; rocky canyon; hill; fungus forest; lava river; vine","humid; artificial temperate; superheated; temperate; subartic"
147,"Gakyid III",7265,5.87,0.965,NA,"rock arche; vine","rocky; superheated"
148,"Gakyid XXI",7265,2.19,1.418,1.16,"ice canyon; reef; lakes; rocky desert","frigid; artic; subartic; artificial temperate; windy; frozen"
149,"Gakyid V",7265,1.97,0.723,1.4,"rocky canyon; forest; ocean; fungus forest","artificial temperate; humid; arid"
150,"Gakyid IX",7265,3.85,0.843,1.66,"ice canyon; cave; vine; island; volcano; verdant; sea","windy; artificial temperate; subartic; hot; temperate; frozen"
151,"Nebula Nexus XII",9485,0.42,1.145,0.72,"rainforest","temperate; tropical; arid; superheated"
152,"Acrab Tritonian",7760,4.3,0.891,1.69,"tundra; barren; ice canyon; canyons; bog; grassy hill; acid pool; forest","windy; artificial temperate; arid; tropical; humid; artic"
153,"Alfirk Hecatean",8973,2.24,1.037,1.29,"vine; jungle; glacier","frozen; humid"
154,"Caph Liu",7580,1.19,0.659,1.22,"vine; verdant","superheated; windy; temperate; subartic"
155,"Caph San",7580,1.99,0.581,1.51,"rocky canyon; jungle; cliff","humid; subartic; frozen; temperate; windy"
156,"Caph Jiu",7580,5.74,0.669,2.05,"tundra; rock arche; sinkholes; urban","tropical; hot; humid; arid; rocky"
157,"Orionyx Poseidian",4764,0.68,1.158,0.84,"rocky island; savanna; vine; volcano","superheated; temperate; artic"
158,"Orionyx Dionian",4764,0.72,1.319,0.82,"reef; grassy hill","windy; tropical; arid; subartic; humid"
159,"Orionyx Nymphios",4764,0.66,1.015,NA,"ash","temperate; hot"
160,"Orionyx Nemesisian",4764,2.59,0.709,1.54,"sea; forest","windy; artic; hot; frigid; tropical"
161,"Ukdah XI",7778,0.8,1.107,0.9,"island; barren; ice canyon; bog","subartic; humid; temperate; arid"
162,"Quanticus Faunios",4925,1.95,0.972,NA,"canyons; lava river; volcano; reef","arid; hot; frozen; humid"
163,"Eldritch Veil Alpha",3500,2.72,0.799,1.5,"acid pool; rocky desert; fungus forest","superheated; hot; windy; rocky; arid"
164,"Ran Septimal",7929,1.69,0.849,1.26,"rock arche; jungle; lakes","frozen; temperate; tropical; windy; artic"
165,"Ran Duodecimal",7929,6.55,1.143,1.79,"cliff; valley; jungle","subartic; frozen; frigid; temperate; tropical; artificial temperate"
166,"Ran Secant",7929,1.95,0.576,1.5,"acid pool; forest; desert; cave; sinkholes; rainforest","superheated; frozen; artic; humid; tropical; subartic"
167,"Menkalinan Yi",6332,5.52,1.004,1.77,"desert; urban; mountain; river; verdant","tropical; arid; subartic"
168,"Menkalinan Si",6332,2.49,1.061,1.33,"hill; ocean","tropical"
169,"Libertas XXI",778,1.59,0.542,1.43,"valley; jungle","windy; humid"
170,"Sakura's Labyrinth Xi",7139,0.65,0.81,0.93,"cave","tropical; artic"
171,"Olympus Anomaly Alpha",1804,4.97,1.141,1.63,"ice cave; ash; forest; rocky canyon; plateau; hill; cliff","humid; subartic; frozen; artic; superheated; hot; artificial temperate"
172,"Olympus Anomaly Zeta",1804,1.96,0.977,1.26,"plain; lakes; tundra; acid pool; city; canyons; rocky desert; fungus forest","subartic; tropical; rocky; temperate; frigid; artic"
173,"Olympus Anomaly Mu",1804,1.92,1.17,1.18,"sea","frigid; artificial temperate; windy; frozen; superheated; rocky; humid"
174,"Olympus Anomaly Chi",1804,4.95,0.862,1.79,"cave; acid pool","frozen; arid; humid; frigid; windy; artic"
175,"Cassionix XIV",3339,8.53,1.013,2.03,"lakes; mountain; canyons; city; swamp; savanna; ice canyon; volcano; rocky desert; toxic cloudsea; tundra","temperate; frozen; humid; artificial temperate; superheated; tropical; hot"
176,"Marsic XI",5180,9.21,1.052,2.06,"ice canyon","hot; subartic"
177,"Marsic XVI",5180,2.22,0.993,1.31,"glacier; bog","temperate; frigid; tropical; windy"
178,"Marsic IV",5180,0.91,0.985,0.97,"river; city","arid; windy; artificial temperate"
179,"Chasoň Museios",9994,8.17,1.089,1.96,"plateau; field; rocky desert","humid; superheated"
180,"Ignifera Prime",5346,0.95,0.935,1.01,"valley; canyons; ash; grassy hill; lava river; rock arche; barren","hot; arid; artificial temperate; windy; artic; temperate; superheated"
181,"Ignifera Quintal",5346,4.03,1.468,1.4,"jungle; tundra; urban","subartic; hot; frigid; superheated"
182,"Obelisk Shadows Cerberian",5737,2.46,0.743,1.49,"lava river; rock arche; grassland","temperate; frigid; frozen; arid"
183,"Bharani Sigma",4948,7.81,1.417,1.77,"lakes; desert; reef; volcano","subartic; frigid; temperate; superheated"
184,"Achird V",4269,0.58,1.015,0.83,"cave","frigid"
185,"Ninja's Radiance Quintal",310,2.01,0.861,1.33,"plateau; sinkholes","windy; arid; tropical; artificial temperate; superheated; artic; frozen"
186,"Ryusei Radiance XI",9739,4.42,1.144,1.57,"city","windy"
187,"Ryusei Radiance VI",9739,2.08,0.939,1.3,"glacier; bog; rocky island; acid pool; mountain","hot; temperate; rocky; frozen; tropical"
188,"Osiris Cascade Ba",5217,2.45,0.827,1.44,"sinkholes; cliff; lakes","hot; frozen"
189,"Beemim San",2621,6.56,1.029,1.85,"savanna; tundra; rocky desert; rocky island","windy; subartic; frozen; superheated; artificial temperate"
190,"Beemim Jiu",6318,1.93,1.154,1.19,"desert; lava river; cliff; ocean; city","hot; windy; subartic; frigid"
191,"Beemim Si",6318,4.51,1.151,1.58,"hill","frigid; humid"
192,"Beemim Ba",6318,3.09,1.256,1.35,"desert; vine; bog; jungle; lakes; river","tropical; windy; hot; arid; rocky; humid"
193,"Hannya's Expanse VIII",9742,2.48,1.063,1.33,"lava river; rainforest; plain","windy; superheated; hot; subartic"
194,"Kaveh Selenean",5547,1.63,1.181,1.11,"sinkholes","artic; arid; hot"
195,"Ayame Cascade Gamma",8129,4.12,1,1.6,"forest; cliff; rock arche; river","rocky; humid; artic; artificial temperate; hot"
196,"Starlight Whisper Zephyrian",855,2.53,1.122,1.31,"plain; canyons","arid; artificial temperate; hot; superheated; windy"
197,"Starlight Whisper Gaian",855,1.22,1.583,0.92,"glacier; urban; ash; savanna","tropical; windy; superheated; artic"
198,"Starlight Whisper Faunios",855,1.56,0.861,1.22,"bog; volcano; lakes","artificial temperate; hot"
199,"Intan VIII",5516,1.23,1.411,0.96,"rainforest; rock arche; mountain","artic; frozen; humid; frigid"
200,"Alya XVIII",1161,9.2,0.886,2.18,"city; grassland; ice cave; island; sea; rocky canyon; grassy hill","superheated; artificial temperate; temperate; arid; subartic"
201,"Mahsati Zeta",7595,2.48,1.199,1.27,"river; hill; tundra","hot; windy; frigid"
202,"Mahsati Omega",7595,NA,1.078,2.03,"grassy hill; rocky canyon; acid pool; canyons","artic; rocky; tropical; humid"
203,"Mahsati Epsilon",7595,0.65,1.158,0.82,"swamp; reef; island; cave","frigid; temperate; humid; subartic"
204,"Diadem Undecimal",4823,6.74,1.141,1.81,"reef; plain; acid pool; volcano; river","artic; temperate; hot; frozen"
205,"Diadem Septimal",4823,4.47,1.202,1.55,"rocky desert; rocky canyon; sea; desert","artificial temperate; frozen; artic; superheated; humid; temperate; arid"
206,"Macondo Demetrian",2711,7.14,1.029,1.91,"bog","superheated; rocky; temperate; arid"
207,"Wolfheart II",6975,0.81,1.265,0.86,"sinkholes","artificial temperate; hot; tropical; humid"
208,"Quantum Quasar Aetherios",7700,9.92,1.154,2.05,"tundra; ice cave; urban","rocky; arid; artic"
209,"Isis Threshold Morphean",2969,NA,0.861,2.02,"tundra; plain; city; grassland; forest; urban","artic; frozen; subartic; temperate"
210,"Elnath Herculean",9166,7.24,1.437,1.71,"city; canyons; hill; field","temperate; hot; tropical; rocky"
211,"Elnath Tritonian",9166,1.69,0.609,1.41,"desert; mountain; swamp","arid; tropical; windy"
212,"Ankaa Jiu",7524,1.04,0.583,1.21,"toxic cloudsea; field","temperate; rocky; frozen"
213,"Ankaa Qi",7524,1.5,1.092,1.11,"rocky desert; jungle; toxic cloudsea; river; plain","artificial temperate; humid; artic"
214,"Stormcaller XI",7911,2.58,1.292,NA,"jungle; bog","hot; artic; arid; superheated"
215,"Kōri Chi",682,2.67,1.149,1.32,"savanna; acid pool; jungle; volcano; tundra; reef","tropical; frigid; hot; rocky"
216,"Zosma Tertial",5514,1.61,0.835,1.24,"glacier; rainforest; city; volcano","subartic; superheated; artic"
217,"Zosma Undecimal",5514,3.64,1.048,1.51,"rocky canyon; reef; river; verdant; city; grassland; plateau; plain; barren; forest","hot; artic; frozen; humid; tropical; arid; superheated"
218,"Zosma Septimal",5514,1.62,1.01,1.17,"savanna; river; fungus forest; sea; ocean; vine; cliff; urban; toxic cloudsea","hot; frigid; rocky; windy; superheated; artic; temperate"
219,"Saiph Undecimal",6998,NA,1.064,0.86,"","windy"
220,"Celestial Serenity XIII",5295,5.29,0.991,1.75,"glacier; cave","frozen; superheated; arid; rocky; subartic; tropical"
221,"Celestial Serenity V",5295,1.94,0.465,1.61,"cityscape; mountain; bog","artificial temperate; tropical; hot; frozen; superheated"
222,"Celestial Serenity XXII",5295,1.61,0.919,1.21,"lakes; city; bog; grassy hill; verdant; plain; urban; ice canyon","superheated; temperate; humid; frigid; rocky; hot"
223,"Ashlesha Sirenios",2756,9.22,0.866,2.2,"forest","temperate; humid; rocky"
224,"Ashlesha Zephyrian",2756,NA,1.33,0.7,"vine; acid pool; jungle; mountain","frozen; temperate; hot; superheated; windy"
225,"Ashlesha Artemian",2756,9.5,1.06,2.08,"cave; rocky canyon; reef; tundra","subartic; tropical; hot; artic; frigid"
226,"Ashlesha Aetherios",2756,2.37,0.942,NA,"cliff; bog; grassland","frigid; temperate; humid"
227,"Sadalbari Er",7318,5.75,0.942,1.83,"rock arche; river; jungle","tropical; frigid; subartic; artificial temperate"
228,"Rigil Kentaurus Psi",2509,2.57,0.566,1.66,"toxic cloudsea; lakes","frozen"
229,"Rigil Kentaurus Alpha",2509,3.52,1.166,1.45,"ocean; reef; barren","arid; hot; windy; rocky"
230,"Rigil Kentaurus Tau",2509,9.32,1.002,2.1,"rocky island","windy; rocky"
231,"Rigil Kentaurus Theta",2509,8.72,0.836,2.19,"tundra; cityscape","windy; artificial temperate; frigid"
232,"Fulu XIII",3844,2.6,0.884,1.43,"cave; canyons; rainforest; field; volcano; island; valley","artificial temperate; temperate; subartic; frozen; tropical; arid"
233,"Fulu XX",3844,5.81,1.463,1.58,"lakes; canyons; scrubland","frigid; windy; temperate; humid; artic; subartic; arid"
234,"Ephemeral Labyrinth XVII",2251,NA,1.008,1.12,"island; bog","rocky; temperate; tropical; arid"
